,loan_amnt,dti,annual_inc,emp_length,fico_mean
253,7301.0,19.0,51987.0,2.0,536.0
254,39859.0,19.0,142375.0,1.0,736.0
255,7674.0,20.0,64126.0,10.0,568.0
256,9805.0,18.0,62921.0,4.0,686.0
257,12158.0,17.0,68632.0,3.0,768.0
258,17173.0,19.0,78291.0,5.0,712.0
259,4492.0,16.0,41796.0,1.0,249.0
260,12297.0,16.0,69505.0,1.0,787.0
261,24259.0,20.0,90498.0,5.0,556.0
262,8662.0,16.0,65973.0,8.0,778.0
263,17863.0,20.0,77369.0,10.0,644.0
264,7315.0,18.0,61587.0,7.0,698.0
265,39887.0,17.0,155274.0,10.0,679.0
266,14573.0,0.0,6484955.0,10.0,672.0
267,19736.0,17.0,86199.0,7.0,778.0
268,19504.0,20.0,78181.0,2.0,550.0
269,5536.0,17.0,47136.0,2.0,249.0
270,10979.0,19.0,58958.0,4.0,540.0
271,34674.0,18.0,139808.0,9.0,726.0
272,28947.0,17.0,123248.0,5.0,767.0
273,2805.0,17.0,52001.0,2.0,690.0
274,12124.0,16.0,76001.0,10.0,797.0
275,11576.0,18.0,67778.0,8.0,677.0
276,34835.0,17.0,146443.0,3.0,681.0
277,15135.0,20.0,68099.0,7.0,553.0
278,19650.0,21.0,75634.0,8.0,550.0
279,9068.0,18.0,65069.0,9.0,719.0
280,24253.0,19.0,98180.0,5.0,653.0
281,19043.0,814.0,1985.0,2.0,665.0
282,12070.0,18.0,67065.0,3.0,699.0
283,6574.0,18.0,59249.0,10.0,247.0
284,29631.0,19.0,107896.0,4.0,563.0
285,7483.0,18.0,60650.0,5.0,675.0
286,29245.0,17.0,119572.0,1.0,781.0
287,3374.0,18.0,52143.0,5.0,560.0
288,12115.0,20.0,64961.0,10.0,540.0
289,21950.0,18.0,79491.0,3.0,249.0
290,2333.0,18.0,65057.0,10.0,655.0
291,10981.0,20.0,61240.0,8.0,555.0
292,21083.0,19.0,77995.0,1.0,247.0
293,19523.0,19.0,81919.0,3.0,628.0
294,29030.0,17.0,123073.0,2.0,768.0
295,5680.0,17.0,50569.0,1.0,656.0
296,2790.0,17.0,54857.0,3.0,683.0
297,24462.0,18.0,104347.0,2.0,706.0
298,29396.0,17.0,119451.0,6.0,778.0
299,5445.0,17.0,66241.0,10.0,752.0
300,24272.0,17.0,103383.0,4.0,767.0
301,20477.0,20.0,88282.0,10.0,634.0
302,29328.0,20.0,109817.0,1.0,633.0
303,13958.0,18.0,76089.0,8.0,249.0
304,9914.0,19.0,61089.0,6.0,628.0
305,9310.0,19.0,56246.0,2.0,602.0
306,34803.0,19.0,127672.0,7.0,565.0
307,10387.0,18.0,55046.0,4.0,250.0
308,15341.0,17.0,78244.0,7.0,778.0
309,34653.0,19.0,129901.0,9.0,582.0
310,7166.0,19.0,52739.0,3.0,541.0
311,27698.0,21.0,96654.0,10.0,554.0
312,20359.0,19.0,92026.0,5.0,705.0
313,24315.0,20.0,88259.0,10.0,531.0
314,15197.0,19.0,72670.0,8.0,647.0
315,17319.0,19.0,79737.0,3.0,705.0
316,19576.0,19.0,83473.0,2.0,640.0
317,4129.0,15.0,52921.0,1.0,779.0
318,7946.0,17.0,70202.0,10.0,728.0
319,6627.0,16.0,63168.0,5.0,775.0
320,24331.0,17.0,101733.0,8.0,767.0
321,16914.0,19.0,68758.0,6.0,248.0
322,35237.0,18.0,134815.0,4.0,578.0
323,9253.0,16.0,63979.0,2.0,778.0
324,5567.0,17.0,48488.0,5.0,248.0
325,29552.0,19.0,109806.0,2.0,566.0
326,35161.0,18.0,134509.0,3.0,561.0
327,19581.0,17.0,87895.0,5.0,776.0
328,10031.0,19.0,59160.0,9.0,546.0
329,5848.0,18.0,62512.0,9.0,682.0
330,39936.0,16.0,165744.0,3.0,689.0
331,17795.0,21.0,72090.0,10.0,554.0
332,17752.0,19.0,79474.0,2.0,710.0
333,20380.0,17.0,93084.0,10.0,798.0
334,10808.0,20.0,58547.0,5.0,534.0
335,5594.0,18.0,56563.0,6.0,638.0
336,19729.0,18.0,89396.0,4.0,707.0
337,20275.0,18.0,89537.0,1.0,733.0
338,39915.0,16.0,162808.0,5.0,733.0
339,3693.0,18.0,47451.0,2.0,540.0
340,6054.0,19.0,65281.0,10.0,625.0
341,6299.0,18.0,56646.0,5.0,618.0
342,35320.0,17.0,147865.0,7.0,765.0
343,10386.0,19.0,59675.0,4.0,613.0
344,39860.0,18.0,148568.0,2.0,737.0
345,15129.0,16.0,82580.0,10.0,801.0
346,12015.0,17.0,70576.0,8.0,759.0
347,9041.0,17.0,64618.0,7.0,767.0
348,5955.0,17.0,58064.0,3.0,715.0
349,2584.0,18.0,42343.0,1.0,548.0
350,24264.0,17.0,102307.0,6.0,767.0
351,24174.0,19.0,96832.0,9.0,684.0
352,2688.0,17.0,64733.0,10.0,747.0
353,29298.0,19.0,109359.0,7.0,565.0
354,33741.0,16.0,118905.0,7.0,249.0
355,8872.0,16.0,65360.0,6.0,772.0
356,24536.0,20.0,93361.0,10.0,627.0
357,14630.0,18.0,81103.0,10.0,686.0
358,15419.0,17.0,79964.0,6.0,778.0
359,3682.0,18.0,48639.0,3.0,540.0
360,30549.0,18.0,120457.0,6.0,690.0
361,15237.0,20.0,66554.0,4.0,539.0
362,19643.0,20.0,78841.0,4.0,550.0
363,5817.0,18.0,53547.0,4.0,620.0
364,24277.0,19.0,100376.0,7.0,695.0
365,4615.0,18.0,68954.0,10.0,707.0
366,4882.0,17.0,48087.0,4.0,250.0
367,29263.0,18.0,118214.0,8.0,762.0
368,15325.0,18.0,76673.0,4.0,721.0
369,15184.0,20.0,74795.0,10.0,583.0
370,8417.0,15.0,67215.0,2.0,0.0
371,35763.0,15.0,120468.0,2.0,248.0
372,29454.0,18.0,121245.0,3.0,684.0
373,34541.0,17.0,151829.0,5.0,767.0
374,9992.0,17.0,72992.0,10.0,719.0
375,7919.0,19.0,49739.0,1.0,540.0
376,5289.0,17.0,57769.0,4.0,701.0
377,9497.0,19.0,63710.0,10.0,524.0
378,27776.0,19.0,115326.0,1.0,709.0
379,8962.0,19.0,57700.0,3.0,609.0
380,19577.0,19.0,86596.0,8.0,707.0
381,12135.0,18.0,67698.0,4.0,677.0
382,22060.0,20.0,89899.0,10.0,702.0
383,10842.0,20.0,59992.0,7.0,546.0
384,15054.0,20.0,65924.0,10.0,248.0
385,24291.0,20.0,91615.0,3.0,566.0
386,3886.0,19.0,55104.0,8.0,583.0
387,12170.0,18.0,75390.0,10.0,714.0
388,9924.0,17.0,64318.0,2.0,718.0
389,3301.0,18.0,53997.0,7.0,567.0
390,30479.0,19.0,115397.0,10.0,684.0
391,15206.0,19.0,72861.0,1.0,656.0
392,9356.0,17.0,65826.0,5.0,719.0
393,2778.0,16.0,49573.0,1.0,734.0
394,29270.0,18.0,119085.0,4.0,685.0
395,5238.0,19.0,64169.0,10.0,574.0
396,12217.0,18.0,68217.0,5.0,717.0
397,14989.0,19.0,70334.0,7.0,645.0
398,7914.0,19.0,52044.0,1.0,613.0
399,39836.0,15.0,168774.0,3.0,770.0
